isOut,AGE,gender,BFI1,BFI2,BFI3,BFI4,BFI5,BFI6,BFI7,BFI8,BFI9,BFI10,BFI11,BFI12,BFI13,BFI14,BFI15,BFI16,BFI17,BFI18,BFI19,BFI20,BFI21,BFI22,BFI23,BFI24,BFI25,BFI26,BFI27,BFI28,BFI29,BFI30,BFI31,BFI32,BFI33,BFI34,BFI35,BFI36,BFI37,BFI38,BFI39,BFI40,BFI41,BFI42,BFI43,BFI44,EMPQ_emotional,EMPQ_cognitive
1,9.367123288,2,4,2,3,3,4,3,4,4,3,5,5,2,4,4,4,3,3,4,4,5,2,4,3,3,3,3,2,3,3,3,3,4,2,2,2,4,1,2,3,4,3,4,5,3,3.272727273,3.444444444
1,10.9260274,2,3,3,4,2,3,4,4,3,4,3,3,1,4,4,3,3,4,2,3,3,4,4,3,3,2,4,3,3,2,4,4,4,3,4,4,4,1,4,2,3,3,3,2,2,3,2.888888889
0,12.71506849,2,4,2,4,1,4,3,4,3,4,5,4,2,4,4,4,3,4,1,5,5,4,5,2,4,4,3,1,3,1,4,5,4,4,3,4,5,2,4,4,3,3,4,3,3,4.363636364,4
0,12.93972603,1,4,2,3,1,3,2,4,4,3,5,4,3,5,4,3,4,3,4,3,4,4,4,5,3,3,4,3,2,3,5,5,4,3,2,3,3,4,2,4,4,5,4,3,4,3.090909091,4
0,13.03013699,1,4,2,3,2,5,3,4,2,2,5,3,2,5,4,5,3,3,2,4,5,3,4,3,3,5,3,3,3,2,4,4,4,4,2,3,4,1,4,2,4,2,4,3,5,3.454545455,4
0,13.26027397,1,3,2,5,2,5,3,5,2,3,5,5,3,5,5,5,5,3,1,5,5,3,2,2,2,4,5,3,5,4,4,5,5,5,2,4,5,4,5,5,5,4,4,4,3,4.181818182,4.555555556
0,13.33150685,5,5,1,4,1,5,4,5,1,3,4,5,1,5,4,4,5,4,2,4,4,2,5,3,3,4,4,2,4,2,4,4,4,4,3,4,5,2,3,4,3,4,4,3,3,3.454545455,3.444444444
0,13.3890411,2,3,2,5,3,5,4,5,2,4,4,4,2,5,4,3,4,4,2,4,5,3,4,2,3,5,4,4,5,3,5,4,4,4,3,4,3,3,4,2,4,2,4,3,4,3.545454545,3.666666667
0,13.43561644,1,5,3,4,1,5,4,4,3,3,4,5,2,5,4,3,5,3,2,3,5,1,4,3,4,3,3,1,5,1,3,2,3,3,1,4,5,1,4,5,5,3,4,5,2,2.818181818,3.444444444
0,13.5,1,3,3,4,1,4,4,5,2,3,4,4,1,5,4,4,3,5,2,4,3,2,4,2,3,4,3,2,4,3,3,3,4,4,3,4,5,2,4,2,4,3,5,3,3,3.909090909,3.888888889
